method,peak_timestep,gini,entropy,top10,deletion_auc,insertion_auc,avg_time_ms,cat_sdc_trajectory,cat_other_agents,cat_roadgraph,cat_traffic_lights,cat_gps_path
vanilla_gradient,35,0.9506626798845457,0.5552370270179954,0.5692259669303894,-0.22666133727346144,0.020780825189181694,574.144721031189,0.19936414062976837,0.5099616050720215,0.1500847488641739,0.01656292751431465,0.12402661144733429
gradient_x_input,35,0.9157322333771847,0.6615305986090241,0.387608140707016,-0.26302268276257174,-0.05358761016811642,566.4226859807968,0.03130211681127548,0.3721776008605957,0.4947555661201477,0.03143592178821564,0.07032880187034607
integrated_gradients,35,0.8670994431447199,0.744895306449802,0.2444128692150116,-0.15932015436036245,0.07472450632069795,790.9608632326126,0.005066568031907082,0.2610216736793518,0.6890782117843628,0.026475170627236366,0.018358377739787102
smooth_grad,35,0.8247626342266552,0.7888452494441734,0.17651672661304474,-0.19533277036888264,0.08942424572472052,752.9449611902237,0.09690862149000168,0.40682750940322876,0.35535141825675964,0.10330410301685333,0.03760836273431778
perturbation,35,0.8699676860764112,0.7156678522314657,0.14007094502449036,-0.21085909434727257,-0.3262633745159422,1634.8751336336136,0.5602837800979614,0.20455299317836761,0.014071671292185783,0.051523011177778244,0.16956855356693268
feature_ablation,35,0.869967653214208,0.7156678522314657,0.14007094502449036,-0.21085909434727257,-0.3262633745159422,1644.7125226259232,0.5602837800979614,0.20455299317836761,0.014071671292185783,0.051523011177778244,0.16956855356693268
sarfa,35,0.7837524762443175,0.8136683225975027,0.09795975685119629,-0.10109644702502661,-0.08957454030002869,1687.046155333519,0.0072148507460951805,0.7128172516822815,0.005851069465279579,0.07819744944572449,0.19591954350471497
